gfem_front_base_x,gfem_front_base_y,gfem_front_base_z,gfem_rear_base_x,gfem_rear_base_y,gfem_rear_base_z,gfem_front_deform_x,gfem_front_deform_y,gfem_front_deform_z,gfem_rear_deform_x,gfem_rear_deform_y,gfem_rear_deform_z,dfem_front_base_x,dfem_front_base_y,dfem_front_base_z,dfem_rear_base_x,dfem_rear_base_y,dfem_rear_base_z,dfem_front_deform_x,dfem_front_deform_y,dfem_front_deform_z,dfem_rear_deform_x,dfem_rear_deform_y,dfem_rear_deform_z
43231.28354,-23727.4162,1043.392025,44142.13186,-23192.09908,1019.119064,43223.16283,-23720.04512,1072.001708,44136.62,-23183.90803,1039.014519,43275.84149,-23734.70445,1051.994407,44129.04375,-23232.09854,1044.097912,43275.35422,-23732.96538,1070.6574,44128.40552,-23229.55276,1070.4629
43209.67497,-23690.77148,1040.673033,44122.3734,-23154.37596,1016.232787,43201.55317,-23683.41841,1069.057947,44116.95094,-23146.14987,1035.907274,43270.78561,-23726.10547,1051.307145,44124.42072,-23223.24779,1043.370123,43270.3549,-23724.37138,1069.8966,44123.8059,-23220.66219,1069.6124
43188.06612,-23654.12627,1037.96276,44102.6146,-23116.65209,1013.358649,43179.94351,-23646.7917,1066.1142,44097.28169,-23108.39135,1032.805534,43291.00935,-23760.50131,1054.056244,44142.91261,-23258.65082,1046.282517,43290.55215,-23758.74738,1072.9697,44142.30423,-23256.12331,1073.0055
43166.45699,-23617.48059,1035.261222,44082.85548,-23078.92746,1010.49672,43158.33382,-23610.16495,1063.170438,44077.61224,-23070.63245,1029.709784,43285.95336,-23751.90237,1053.368956,44138.28969,-23249.80006,1045.554113,43285.55284,-23750.15338,1072.199,44137.70461,-23247.23326,1072.1543
43144.84758,-23580.83443,1032.568434,44063.09603,-23041.20208,1007.647062,43136.72408,-23573.5381,1060.22663,44057.94258,-23032.87314,1026.620496,43159.56953,-23536.92698,1036.190178,44022.69639,-23028.5352,1027.421894,43159.1668,-23535.30448,1052.9938,44022.07577,-23026.20245,1050.796
43123.23788,-23544.1878,1029.884411,44043.33625,-23003.47594,1004.809732,43115.11427,-23536.91113,1057.282747,44038.27268,-22995.11337,1023.538119,43134.29491,-23493.93351,1032.754803,43999.57267,-22984.28322,1023.817732,43133.86902,-23492.33508,1049.1472,43998.97406,-22982.0573,1046.5528
43101.6279,-23507.54069,1027.209165,44023.57615,-22965.74904,1001.984782,43093.50441,-23500.28409,1054.338795,44018.60253,-22957.35314,1020.46308,43144.40467,-23511.13082,1034.128921,44008.82227,-23001.98399,1025.258331,43143.96814,-23509.52282,1050.6899,44008.17453,-22999.73548,1048.2493
43080.01765,-23470.8931,1024.542706,44003.81571,-22928.02139,999.1722568,43071.89455,-23463.65704,1051.394893,43998.93213,-22919.59241,1017.395774,43139.34977,-23502.53213,1033.441856,44004.19747,-22993.13357,1024.537848,43138.96859,-23500.92895,1049.9186,44003.57424,-22990.84643,1047.401
43058.40711,-23434.24504,1021.885045,43984.05495,-22890.29297,996.3721943,43050.28468,-23427.02998,1048.451175,43979.26146,-22881.83117,1014.336566,43154.51452,-23528.32819,1035.50308,44018.07173,-23019.6848,1026.700361,43154.06725,-23526.71059,1052.2225,44017.47529,-23017.4135,1049.9469
43036.7963,-23397.5965,1019.236187,43964.29386,-22852.56381,993.5846277,43028.6748,-23390.40289,1045.507776,43959.59051,-22844.06939,1011.285783,43149.45959,-23519.7295,1034.815996,44013.44703,-23010.83439,1025.979171,43149.0677,-23518.1167,1051.4613,44012.77486,-23008.52453,1049.098
